id,price,landSize,bedroom,bathroom,carspace,distPri,distSec,year,suburb,link,
55,800000,681,4,2,2,390,1880,1987,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142655664,
56,890000,956,4,2,4,600,2260,1987,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142042948,
57,770000,707,4,2,2,400,1860,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142753380,
58,785000,700,4,2,2,750,1170,1991,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142293472,
59,605000,683,4,1,1,260,1630,1981,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141654396,
60,675000,735,3,1,1,420,1390,1977,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142632276,
61,1050000,709,4,2,2,930,2230,1985,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142255328,
62,790000,938,5,2,2,490,2230,1987,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-140301991,
63,855000,714,4,2,2,500,1760,1988,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142372304,
64,755000,450,4,2,2,450,2170,2000,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142115288,
65,810000,817,4,2,2,790,2140,1979,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142000900,
66,860000,685,4,2,2,680,2110,1982,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142308356,
67,691500,682,4,1,1,500,1690,1982,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141916544,
68,807000,680,4,2,4,210,1430,1982,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142420800,
69,735000,695,4,2,1,520,2280,1987,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142207696,
70,690000,743,3,2,2,90,1410,1988,Kingsley,https://www.domain.com.au/47-dalmain-street-kingsley-wa-6026-2018525038,
71,820000,680,4,2,2,150,1700,1985,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142312824,
72,540000,100,3,2,1,430,1460,1980,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141922444,
73,1026000,722,5,2,2,420,2200,1999,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-142235312,
74,820000,732,4,2,2,310,2090,1982,Kingsley,https://www.realestate.com.au/sold/property-house-wa-kingsley-141910736,
